date,year,month,day,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225,1385 UBS ETF ユーロ圏大型株50(E･ストックス50),1386 UBS ETF 欧州株(MSCIヨーロッパ),1389 UBS ETF 英国大型株100(FTSE 100),1390 UBS ETF MSCIアジア太平洋株(除く日本),1391 UBS ETF スイス株(MSCIスイス20/35),1392 UBS ETF 英国株(MSCI英国),1393 UBS ETF 米国株(MSCI米国),1394 UBS ETF 先進国株(MSCIワールド),1458 楽天 ETF-日経レバレッジ指数連動型,1459 楽天 ETF-日経ダブルインバース指数連動型,1473 One ETF トピックス,1474 One ETF JPX日経400,1475 iシェアーズ・コア TOPIX ETF,1476 iシェアーズ・コア Ｊリート ETF,1477 iシェアーズ MSCI 日本株最小分散 ETF,1478 iシェアーズ MSCI ジャパン高配当利回り ETF,1482 iシェアーズ・コア 米国債7-10年ETF(H有),1483 iシェアーズ JPX/S&P 設備･人材投資ETF,1484 One ETF JPX/S&P 設備･人材投資指数,1489 (NEXT FUNDS)日経平均高配当株50指数連動型ETF,1493 One ETF JPX日経中小型,1494 One ETF 高配当日本株,1496 iシェアーズ 米ドル建て投資適格社債ETF(H有),1497 iシェアーズ 米ドル建ハイイールド社債ETF(H有),1498 One ETF ESG,1552 国際のETF VIX短期先物指数,1557 SPDR S&P500 ETF,1575 ChinaAMC CSI 300 Index ETF-JDR,1576 南方 FTSE 中国A株 50 ETF,1577 (NEXT FUNDS)野村日本株高配当70連動型ETF,1655 iシェアーズ S&P500 米国株 ETF,1656 iシェアーズ･コア　米国債7-10年 ETF,1657 iシェアーズ･コア MSCI 先進国株(除く日本)ETF,1658 iシェアーズ･コア MSCI 新興国株 ETF,1659 iシェアーズ 米国リート ETF,2516 東証マザーズETF,2522 iシェアーズ オートメーション&ロボット ETF,2555 東証REIT ETF,サイバーエージェント：前日比,サイバーエージェント：翌日比
2020-12-24,2020,12,24,110.0,260.0,95.0,110.0,240.0,0.0,15.0,67.0,400.0,-140.0,260.0,-38.0,18.0,150.0,13.0,23.0,22.0,1.0,-2.0,35.0,21.0,-70.0,340.0,70.0,8.0,20.0,150.0,-560.0,200.0,-22.0,6.0,-10.0,20.0,2.0,25.0,11.0,22.0,33.0,65.0,18.0,210.0,-20.0
2020-12-22,2020,12,22,-200.0,-340.0,-60.0,-80.0,-40.0,45.0,-54.0,-19.0,-100.0,-50.0,-330.0,46.0,-32.0,-250.0,-30.0,6.0,-28.0,-19.0,-1.0,-40.0,-23.0,-330.0,-340.0,-310.0,-7.0,-14.0,-170.0,580.0,-400.0,-8.0,-9.0,-290.0,-29.0,-3.0,-18.0,-37.0,-16.0,-40.0,-35.0,0.0,-250.0,210.0
2020-12-21,2020,12,21,-80.0,-50.0,-60.0,-150.0,-270.0,20.0,-11.0,-66.0,-100.0,540.0,-100.0,7.0,-4.0,-30.0,-7.0,-15.0,-3.0,-5.0,0.0,17.0,-4.0,-60.0,-10.0,10.0,3.0,0.0,-20.0,40.0,100.0,-2.0,-11.0,-100.0,2.0,-1.0,-10.0,6.0,-41.0,-7.0,0.0,-7.0,50.0,-250.0
2020-12-18,2020,12,18,-10.0,-20.0,0.0,30.0,20.0,-110.0,0.0,5.0,100.0,310.0,-30.0,9.0,-1.0,-10.0,3.0,-8.0,-3.0,2.0,0.0,24.0,-9.0,110.0,-70.0,60.0,5.0,1.0,-50.0,30.0,-200.0,-3.0,16.0,60.0,4.0,4.0,3.0,-2.0,9.0,5.0,10.0,-8.0,-10.0,50.0
2020-12-17,2020,12,17,70.0,60.0,20.0,50.0,0.0,10.0,0.0,9.0,-100.0,90.0,70.0,-10.0,2.0,30.0,8.0,4.0,12.0,-8.0,-2.0,-20.0,17.0,-60.0,-100.0,-90.0,-5.0,2.0,0.0,-180.0,150.0,0.0,-20.0,-30.0,10.0,-6.0,16.0,6.0,19.0,28.0,20.0,3.0,150.0,-10.0
2020-12-16,2020,12,16,50.0,40.0,20.0,-10.0,180.0,0.0,10.0,20.0,50.0,120.0,70.0,-11.0,8.0,80.0,4.0,14.0,-3.0,4.0,-3.0,0.0,9.0,120.0,90.0,50.0,4.0,11.0,80.0,-350.0,200.0,23.0,4.0,40.0,15.0,-16.0,2.0,15.0,8.0,-18.0,10.0,6.0,30.0,150.0
2020-12-15,2020,12,15,-140.0,-20.0,-5.0,50.0,-140.0,-20.0,-31.0,-79.0,-300.0,280.0,-40.0,9.0,-10.0,-150.0,-10.0,-4.0,-10.0,-14.0,2.0,9.0,-19.0,-150.0,-30.0,-120.0,3.0,-9.0,-150.0,270.0,-150.0,-24.0,-5.0,-150.0,-18.0,5.0,-6.0,-12.0,-15.0,-14.0,20.0,9.0,-160.0,30.0
2020-12-14,2020,12,14,90.0,60.0,-30.0,-90.0,-220.0,60.0,-7.0,-6.0,0.0,-30.0,80.0,-15.0,9.0,120.0,11.0,8.0,5.0,9.0,3.0,-1.0,16.0,190.0,140.0,110.0,-3.0,0.0,120.0,110.0,150.0,47.0,27.0,200.0,11.0,-1.0,-1.0,-13.0,14.0,-2.0,5.0,8.0,-210.0,-160.0
2020-12-11,2020,12,11,40.0,-140.0,20.0,20.0,0.0,-10.0,5.0,14.0,-50.0,100.0,-140.0,18.0,6.0,30.0,5.0,14.0,12.0,1.0,-1.0,-1.0,13.0,-30.0,90.0,-30.0,15.0,7.0,-10.0,70.0,-300.0,-18.0,-9.0,-40.0,-17.0,-7.0,-11.0,15.0,-19.0,24.0,-5.0,6.0,240.0,-210.0
2020-12-10,2020,12,10,-50.0,10.0,-30.0,-20.0,0.0,-25.0,33.0,1.0,-100.0,-150.0,-40.0,6.0,-2.0,-40.0,-5.0,-6.0,-2.0,-2.0,5.0,-1.0,-7.0,20.0,-50.0,-50.0,-7.0,-5.0,-10.0,180.0,-300.0,-8.0,-14.0,-20.0,-23.0,11.0,-9.0,-23.0,-11.0,-7.0,-55.0,2.0,-110.0,240.0
